Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMB,HML,Mkt-RF
200401,6.0684,5.5207,5.5328,6.1628,8.8562,3.4846,3.7417,3.1423,3.5562,7.8385,3.288,2.1282,1.4003,4.6021,5.8243,1.8777,1.0117,4.815,2.7165,5.1764,1.5112,0.6022,3.5638,1.6512,6.8652,2.55,2.48,2.15
200402,-0.2069,0.0431,0.3577,0.888,0.1114,1.2441,2.0807,0.8622,0.0284,-0.1376,-0.0412,2.8474,2.9012,2.024,1.3614,2.5201,1.7241,2.3279,3.8064,0.6712,0.996,1.6564,2.7084,0.8343,5.4937,-1.58,0.91,1.4
200403,-1.4336,-0.8231,-0.6021,0.5696,-0.7415,2.2981,1.1405,0.3386,0.6242,1.9296,1.7543,1.5553,0.0063,0.3432,0.8649,0.2782,-0.4881,0.612,-0.7283,-0.9106,-2.3654,-0.5699,-1.1871,-0.5594,-1.0896,1.72,0.28,-1.32
200404,-4.0965,-4.8078,-3.9091,-3.8238,-6.3289,-4.1147,-4.4945,-2.5388,-4.1184,-8.0778,-1.9051,-2.179,-2.8383,-6.1823,-6.5306,-1.6032,-4.1649,-4.376,-2.9496,-3.1954,0.41,-2.9254,-4.7441,-2.3963,-1.7677,-1.68,-3.09,-1.83
200405,-1.7882,-0.3978,-0.2951,-0.6258,0.671,1.1769,1.9888,1.2762,1.5354,2.8582,1.5225,2.1105,1.7751,1.8402,1.5704,1.3519,2.0287,2.4512,1.8173,4.0459,1.1938,1.2176,1.1355,0.0967,1.2422,-0.2,-0.24,1.17
200406,0.8532,4.4972,4.4461,3.4048,3.999,3.482,5.1794,5.8146,5.5681,7.6156,2.328,4.4155,2.4932,1.1855,3.8729,1.5008,3.1716,2.2526,3.3797,4.2443,1.6173,1.0409,0.4093,2.9121,2.31,2.26,1.19,1.86
200407,-13.0386,-7.612,-7.1173,-5.6606,-4.3907,-8.4968,-8.7775,-4.9187,-5.4195,-4.6045,-8.9888,-5.6116,-3.6903,-3.4522,-3.8066,-6.547,-4.9028,-3.6264,-6.4243,-2.6397,-4.9847,-0.6596,-1.3031,-2.7667,-0.893,-3.81,3.23,-4.06
200408,-1.6386,-0.2987,-1.1608,-1.4142,-1.8246,-4.5205,-1.5637,-0.4839,0.8503,1.2045,-2.7564,-0.6583,0.3901,1.0434,-2.199,-0.791,-1.312,0.2978,0.6628,0.5203,-0.2843,1.5461,1.2663,1.0204,-0.1074,-1.49,1,0.08
200409,4.7089,4.812,4.8344,4.8814,3.7322,8.0374,6.2615,5.6209,3.9379,3.6516,4.1341,4.1815,3.6333,2.8916,4.8858,3.1094,2.9945,5.0401,2.7665,2.7952,0.0805,1.2284,2.5803,1.7556,3.7306,3.02,-0.01,1.6
200410,1.7911,2.5735,2.595,1.2217,0.4809,3.4237,3.1025,1.1826,0.8167,2.4814,1.7038,3.9429,2.4072,0.0167,2.3191,3.3338,3.1464,2.1755,1.564,-0.3894,1.4072,0.6088,2.7207,0.9059,2.6451,0.15,-0.22,1.43
200411,10.9005,8.5859,8.6127,8.1144,8.8547,7.3493,9.4938,9.4224,9.2949,9.4273,6.8997,5.9205,7.8605,6.2942,9.485,5.8109,7.3344,7.0697,6.8714,7.6319,3.2286,4.2312,5.2821,3.6495,6.0541,3.74,1.42,4.54
200412,5.0982,4.5207,4.3611,2.9427,5.8411,3.6165,3.579,2.3109,2.4829,3.3274,5.6778,3.3344,2.2541,1.9261,2.628,4.2649,4.0557,4.2335,4.0296,3.7943,3.7671,2.3569,2.547,5.4528,2.7714,-0.03,-0.22,3.43
200501,-6.1296,-4.4046,-4.2289,-3.3357,-1.2609,-5.5879,-4.223,-2.2619,-3.2291,-2.8235,-3.589,-3.9222,-3.7856,-0.2762,-2.8709,-2.8453,-3.5222,-2.8127,-2.2411,-2.4265,-3.1448,-1.9094,-1.2069,-1.8963,0.3739,-1.72,2.06,-2.76
200502,-1.1691,-0.0156,-0.296,0.8386,2.9931,2.3561,1.9299,3.4859,3.7845,2.213,1.0314,2.4098,2.9065,1.6684,4.0602,2.3876,2.4726,3.3801,2.5232,3.2408,0.9539,4.4907,2.5624,0.6636,5.0656,-0.57,1.53,1.89
200503,-6.2173,-2.3103,-3.3198,-2.8289,-2.607,-4.3575,-2.417,-2.7012,-0.4793,-0.2297,-1.7045,-2.3897,-2.5504,-2.392,-0.9627,-1.763,-0.8515,0.2252,-1.195,-0.7946,-1.1236,-3.8655,-0.8902,-0.0947,-0.5454,-1.4,2.04,-1.97
200504,-6.2759,-6.414,-5.4145,-6.4265,-6.2107,-7.6302,-6.2691,-6.3754,-6.1013,-4.8628,-5.0783,-4.4697,-5.3481,-4.2422,-4.8383,-4.0064,-4.5343,-4.5499,-2.9863,-2.1264,-1.1875,-1.876,-2.7052,-1.1455,-2.6218,-3.93,0.06,-2.61
